number_i,number_j,count,expected,null_lo,null_hi,z,sim_lo,sim_hi,source_dataset_version,analysis_version,through_draw,override_ref
2,28,9,12.02020202,6,19,-0.8755574944,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,29,7,12.02020202,6,19,-1.45535811,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,30,13,12.02020202,6,19,0.2840437357,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,31,11,12.02020202,6,19,-0.2957568794,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,32,13,12.02020202,6,19,0.2840437357,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,33,13,12.02020202,6,19,0.2840437357,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,34,15,12.02020202,6,19,0.8638443507,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,35,14,12.02020202,6,19,0.5739440432,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,36,7,12.02020202,6,19,-1.45535811,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,37,7,12.02020202,6,19,-1.45535811,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,38,11,12.02020202,6,19,-0.2957568794,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,39,11,12.02020202,6,19,-0.2957568794,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,40,5,12.02020202,6,19,-2.035158725,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,41,13,12.02020202,6,19,0.2840437357,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,42,9,12.02020202,6,19,-0.8755574944,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,43,7,12.02020202,6,19,-1.45535811,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,44,9,12.02020202,6,19,-0.8755574944,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,45,10,12.02020202,6,19,-0.5856571869,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,46,13,12.02020202,6,19,0.2840437357,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,47,9,12.02020202,6,19,-0.8755574944,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,48,11,12.02020202,6,19,-0.2957568794,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,49,5,12.02020202,6,19,-2.035158725,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,50,12,12.02020202,6,19,-0.005856571869,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,51,12,12.02020202,6,19,-0.005856571869,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,52,11,12.02020202,6,19,-0.2957568794,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,53,10,12.02020202,6,19,-0.5856571869,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,54,10,12.02020202,6,19,-0.5856571869,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,55,11,12.02020202,6,19,-0.2957568794,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
3,4,7,12.02020202,6,19,-1.45535811,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
3,5,8,12.02020202,6,19,-1.165457802,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
3,6,13,12.02020202,6,19,0.2840437357,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
3,7,13,12.02020202,6,19,0.2840437357,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
3,8,11,12.02020202,6,19,-0.2957568794,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
3,9,19,12.02020202,6,19,2.023445581,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
3,10,12,12.02020202,6,19,-0.005856571869,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
3,11,11,12.02020202,6,19,-0.2957568794,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
3,12,13,12.02020202,6,19,0.2840437357,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
3,13,10,12.02020202,6,19,-0.5856571869,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
3,14,15,12.02020202,6,19,0.8638443507,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
3,15,15,12.02020202,6,19,0.8638443507,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
3,16,11,12.02020202,6,19,-0.2957568794,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
3,17,11,12.02020202,6,19,-0.2957568794,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
3,18,10,12.02020202,6,19,-0.5856571869,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
3,19,13,12.02020202,6,19,0.2840437357,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
3,20,11,12.02020202,6,19,-0.2957568794,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
3,21,15,12.02020202,6,19,0.8638443507,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
