metric,value,prob,source_dataset_version,analysis_version,through_draw,override_ref
sum,272,0.0001702330226,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,273,0.00015502071,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,274,0.000140394813,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,275,0.0001273556878,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,276,0.0001149029784,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,277,0.0001037955755,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,278,9.32055982e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,279,8.389193739e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,280,7.492322698e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,281,6.709285289e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,282,5.964192424e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,283,5.312236167e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,284,4.691325446e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,285,4.160101829e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,286,3.646125733e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,287,3.211488228e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,288,2.797547748e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,289,2.445698339e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,290,2.111096451e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,291,1.83513613e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,292,1.566074818e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,293,1.348756066e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,294,1.141785825e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,295,9.727601293e-06,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,296,8.10633441e-06,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,297,6.864512969e-06,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,298,5.622691527e-06,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,299,4.691325446e-06,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,300,3.794454405e-06,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,301,3.104553604e-06,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,302,2.449147843e-06,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,303,2.000712323e-06,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,304,1.517781762e-06,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,305,1.207326402e-06,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,306,8.968710412e-07,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,307,6.899008009e-07,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,308,4.829305606e-07,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,309,3.794454405e-07,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,310,2.414652803e-07,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,311,1.724752002e-07,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,312,1.034851201e-07,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,313,6.899008009e-08,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,314,3.449504004e-08,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,315,3.449504004e-08,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,1,0.1090909091,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,2,0.09898989899,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,3,0.08965122927,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,4,0.08103091877,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,5,0.07308671104,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,6,0.06577803994,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,7,0.05906599505,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,8,0.05291328723,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,9,0.04728421412,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,10,0.04214462563,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,11,0.03746188945,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,12,0.03320485656,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,13,0.02934382672,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,14,0.02585051402,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,15,0.02269801231,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,16,0.01986076077,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,17,0.01731450939,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,18,0.01503628447,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,19,0.01300435414,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,20,0.01119819384,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,21,0.009598451863,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,22,0.008186914824,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,23,0.006946473184,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,24,0.005861086749,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,25,0.004915750177,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,26,0.00409645848,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,27,0.003390172536,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,28,0.002784784583,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,29,0.002269083734,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,30,0.001832721478,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,31,0.001466177182,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,32,0.001160723602,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,33,0.0009083923845,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,34,0.0007019395699,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,35,0.0005348111008,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,36,0.0004011083256,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,37,0.0002955535031,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,38,0.0002134553078,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,39,0.0001506743349,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,40,0.0001035886053,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,41,6.905907017e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,42,4.439511654e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,43,2.732007172e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,44,1.59367085e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,45,8.692750091e-06,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,46,4.346375046e-06,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,47,1.931722242e-06,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,48,7.243958409e-07,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,49,2.069702403e-07,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,50,3.449504004e-08,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,6,3.449504004e-08,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,7,2.069702403e-07,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,8,7.243958409e-07,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,9,1.931722242e-06,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,10,4.346375046e-06,ds_cbdf3834368e,ds_16b6be697acb,01190,
