draw_id,draw_date,n1,n2,n3,n4,n5,n6,sum,min,max,range,odd_count,even_count,low_count,high_count,gap_1,gap_2,gap_3,gap_4,gap_5,consecutive_pairs,max_gap,min_gap,source_dataset_version,analysis_version,through_draw,override_ref
00536,2021-02-02,4,13,31,36,40,54,178,4,54,50,2,4,2,4,9,18,5,4,14,0,18,4,ds_cbdf3834368e,ds_16b6be697acb,01190,
00537,2021-02-04,28,43,44,50,51,53,269,28,53,25,3,3,0,6,15,1,6,1,2,2,15,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00538,2021-02-06,6,22,32,33,35,53,181,6,53,47,3,3,2,4,16,10,1,2,18,1,18,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00539,2021-02-09,15,20,21,29,31,41,157,15,41,26,5,1,3,3,5,1,8,2,10,1,10,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00540,2021-02-13,3,11,14,31,34,42,135,3,42,39,3,3,3,3,8,3,17,3,8,0,17,3,ds_cbdf3834368e,ds_16b6be697acb,01190,
00541,2021-02-16,4,10,11,21,23,44,113,4,44,40,3,3,5,1,6,1,10,2,21,1,21,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00542,2021-02-18,2,5,10,22,26,47,112,2,47,45,2,4,5,1,3,5,12,4,21,0,21,3,ds_cbdf3834368e,ds_16b6be697acb,01190,
00543,2021-02-20,1,2,4,32,34,39,112,1,39,38,2,4,3,3,1,2,28,2,5,1,28,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00544,2021-02-23,16,19,21,23,30,48,157,16,48,32,3,3,4,2,3,2,2,7,18,0,18,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00545,2021-02-25,9,19,32,40,45,51,196,9,51,42,4,2,2,4,10,13,8,5,6,0,13,5,ds_cbdf3834368e,ds_16b6be697acb,01190,
00546,2021-02-27,6,11,24,30,50,52,173,6,52,46,1,5,3,3,5,13,6,20,2,0,20,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00547,2021-03-02,23,29,45,46,49,51,243,23,51,28,5,1,1,5,6,16,1,3,2,1,16,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00548,2021-03-04,2,9,21,23,33,41,129,2,41,39,5,1,4,2,7,12,2,10,8,0,12,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00549,2021-03-06,18,24,34,39,46,55,216,18,55,37,2,4,2,4,6,10,5,7,9,0,10,5,ds_cbdf3834368e,ds_16b6be697acb,01190,
00550,2021-03-09,15,18,29,35,47,54,198,15,54,39,4,2,2,4,3,11,6,12,7,0,12,3,ds_cbdf3834368e,ds_16b6be697acb,01190,
00551,2021-03-11,4,5,12,25,43,44,133,4,44,40,3,3,4,2,1,7,13,18,1,2,18,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00552,2021-03-13,7,19,20,23,36,55,160,7,55,48,4,2,4,2,12,1,3,13,19,1,19,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00553,2021-03-16,3,31,45,46,49,54,228,3,54,51,4,2,1,5,28,14,1,3,5,1,28,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00554,2021-03-18,17,24,38,41,46,54,220,17,54,37,2,4,2,4,7,14,3,5,8,0,14,3,ds_cbdf3834368e,ds_16b6be697acb,01190,
00555,2021-03-20,16,18,20,25,35,36,150,16,36,20,2,4,4,2,2,2,5,10,1,1,10,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00556,2021-03-23,9,13,17,33,34,53,159,9,53,44,5,1,3,3,4,4,16,1,19,1,19,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00557,2021-03-25,19,20,24,29,36,39,167,19,39,20,3,3,3,3,1,4,5,7,3,1,7,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00558,2021-03-27,5,11,17,20,26,37,116,5,37,32,4,2,5,1,6,6,3,6,11,0,11,3,ds_cbdf3834368e,ds_16b6be697acb,01190,
00559,2021-03-30,2,11,17,19,47,51,147,2,51,49,5,1,4,2,9,6,2,28,4,0,28,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00560,2021-04-01,13,18,24,34,38,54,181,13,54,41,1,5,3,3,5,6,10,4,16,0,16,4,ds_cbdf3834368e,ds_16b6be697acb,01190,
00561,2021-04-03,2,4,34,38,41,55,174,2,55,53,2,4,2,4,2,30,4,3,14,0,30,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00562,2021-04-06,27,33,34,38,46,48,226,27,48,21,2,4,1,5,6,1,4,8,2,1,8,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00563,2021-04-08,8,11,16,22,28,30,115,8,30,22,1,5,4,2,3,5,6,6,2,0,6,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00564,2021-04-10,12,13,16,17,27,47,132,12,47,35,4,2,5,1,1,3,1,10,20,2,20,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00565,2021-04-13,25,33,39,45,49,55,246,25,55,30,6,0,1,5,8,6,6,4,6,0,8,4,ds_cbdf3834368e,ds_16b6be697acb,01190,
00566,2021-04-15,5,8,27,42,47,51,180,5,51,46,4,2,3,3,3,19,15,5,4,0,19,3,ds_cbdf3834368e,ds_16b6be697acb,01190,
00567,2021-04-17,4,15,16,29,42,46,152,4,46,42,2,4,3,3,11,1,13,13,4,1,13,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
