window_end_draw_id,max_z,min_z,mc_max_z_q975,mc_min_z_q025,source_dataset_version,analysis_version,through_draw,override_ref
00330,2.0825849,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00331,2.0825849,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00332,2.309401077,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00333,2.309401077,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00334,2.309401077,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00335,2.309401077,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00336,2.0825849,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00337,2.0825849,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00338,2.0825849,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00339,2.0825849,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00340,2.0825849,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00341,2.0825849,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00342,2.0825849,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00343,2.0825849,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00344,1.855768722,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00345,1.855768722,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00346,1.855768722,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00347,1.855768722,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00348,1.855768722,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00349,1.855768722,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00350,1.855768722,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00351,1.855768722,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00352,1.855768722,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00353,2.0825849,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00354,2.0825849,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00355,2.309401077,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00356,2.309401077,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00357,2.309401077,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00358,2.309401077,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
