period,draw_first,draw_last,n_draws,config,metric,value,ci_lo,ci_hi,validation_exposed,selection_biased,experiment_id,analysis_version,source_dataset_version,code_version,spec_sha256
fold_01,00501,00550,50,B2_W100,delta_sum_rmse_vs_b0,0.29060201282855047,-0.142302061,0.8436423919,True,False,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
fold_01,00501,00550,50,B2_W200,ll,0.34724302695181825,0.3453036281,0.3492033076,True,False,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
fold_01,00501,00550,50,B2_W200,brier,0.09770650936276624,0.09735474241,0.09806878794,True,False,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
fold_01,00501,00550,50,B2_W200,ece,0.018763056863455443,0.01720188338,0.03295279971,True,False,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
fold_01,00501,00550,50,B2_W200,ece_n_bins,10,,,True,False,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
fold_01,00501,00550,50,B2_W200,sum_p_mean,6.0,,,True,False,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
fold_01,00501,00550,50,B2_W200,sum_p_min,5.999999999999999,,,True,False,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
fold_01,00501,00550,50,B2_W200,sum_p_max,6.000000000000003,,,True,False,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
fold_01,00501,00550,50,B2_W200,n_clipped,0,0,0,True,False,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
fold_01,00501,00550,50,B2_W200,sum_mae,26.607458167330677,20.02755339,33.77718964,True,False,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
fold_01,00501,00550,50,B2_W200,sum_rmse,34.70431298813925,25.52485566,42.8342006,True,False,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
fold_01,00501,00550,50,B2_W200,set_level_ls,NA (marginal-only),,,True,False,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
fold_01,00501,00550,50,B2_W200,delta_ll_vs_b0,0.0026325948609660864,0.0006931960328,0.004592875474,True,False,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
fold_01,00501,00550,50,B2_W200,delta_brier_vs_b0,0.000516426718138169,0.0001646597649,0.0008787052967,True,False,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
fold_01,00501,00550,50,B2_W200,delta_sum_mae_vs_b0,0.0074581673306795436,-0.2639115538,0.2755721116,True,False,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
fold_01,00501,00550,50,B2_W200,delta_sum_rmse_vs_b0,0.14364169836248664,-0.1118866086,0.3412449357,True,False,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
fold_02,00551,00600,50,B0,ll,0.34461043209085224,0.3446104321,0.3446104321,True,False,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
