draw_id,draw_date,position,number,is_special
01229,2025-08-14,4,18,False
01229,2025-08-14,5,32,False
01229,2025-08-14,6,35,False
01229,2025-08-14,7,53,True
01230,2025-08-16,1,14,False
01230,2025-08-16,2,23,False
01230,2025-08-16,3,32,False
01230,2025-08-16,4,36,False
01230,2025-08-16,5,47,False
01230,2025-08-16,6,48,False
01230,2025-08-16,7,5,True
01231,2025-08-19,1,1,False
01231,2025-08-19,2,14,False
01231,2025-08-19,3,31,False
01231,2025-08-19,4,34,False
01231,2025-08-19,5,36,False
01231,2025-08-19,6,47,False
01231,2025-08-19,7,45,True
01232,2025-08-21,1,5,False
01232,2025-08-21,2,9,False
01232,2025-08-21,3,17,False
01232,2025-08-21,4,35,False
01232,2025-08-21,5,40,False
01232,2025-08-21,6,41,False
01232,2025-08-21,7,44,True
01233,2025-08-23,1,1,False
01233,2025-08-23,2,9,False
01233,2025-08-23,3,26,False
01233,2025-08-23,4,34,False
01233,2025-08-23,5,44,False
01233,2025-08-23,6,50,False
01233,2025-08-23,7,52,True
01234,2025-08-26,1,22,False
01234,2025-08-26,2,30,False
01234,2025-08-26,3,38,False
01234,2025-08-26,4,44,False
01234,2025-08-26,5,48,False
01234,2025-08-26,6,55,False
01234,2025-08-26,7,5,True
01235,2025-08-28,1,6,False
01235,2025-08-28,2,13,False
01235,2025-08-28,3,28,False
01235,2025-08-28,4,30,False
01235,2025-08-28,5,35,False
01235,2025-08-28,6,52,False
01235,2025-08-28,7,50,True
01236,2025-08-30,1,2,False
01236,2025-08-30,2,17,False
01236,2025-08-30,3,19,False
01236,2025-08-30,4,24,False
01236,2025-08-30,5,30,False
01236,2025-08-30,6,44,False
01236,2025-08-30,7,34,True
01237,2025-09-02,1,9,False
01237,2025-09-02,2,16,False
01237,2025-09-02,3,22,False
01237,2025-09-02,4,25,False
01237,2025-09-02,5,30,False
01237,2025-09-02,6,51,False
01237,2025-09-02,7,43,True
01238,2025-09-04,1,9,False
01238,2025-09-04,2,19,False
01238,2025-09-04,3,23,False
01238,2025-09-04,4,42,False
01238,2025-09-04,5,49,False
01238,2025-09-04,6,53,False
01238,2025-09-04,7,40,True
01239,2025-09-06,1,9,False
01239,2025-09-06,2,11,False
01239,2025-09-06,3,19,False
01239,2025-09-06,4,22,False
01239,2025-09-06,5,34,False
01239,2025-09-06,6,43,False
01239,2025-09-06,7,31,True
01240,2025-09-09,1,16,False
01240,2025-09-09,2,20,False
01240,2025-09-09,3,21,False
01240,2025-09-09,4,31,False
01240,2025-09-09,5,40,False
01240,2025-09-09,6,52,False
01240,2025-09-09,7,2,True
01241,2025-09-11,1,6,False
01241,2025-09-11,2,16,False
01241,2025-09-11,3,46,False
01241,2025-09-11,4,49,False
01241,2025-09-11,5,51,False
01241,2025-09-11,6,55,False
01241,2025-09-11,7,42,True
01242,2025-09-13,1,2,False
01242,2025-09-13,2,7,False
01242,2025-09-13,3,15,False
01242,2025-09-13,4,18,False
01242,2025-09-13,5,24,False
01242,2025-09-13,6,27,False
01242,2025-09-13,7,45,True
01243,2025-09-16,1,17,False
01243,2025-09-16,2,19,False
01243,2025-09-16,3,28,False
01243,2025-09-16,4,39,False
01243,2025-09-16,5,43,False
01243,2025-09-16,6,53,False
01243,2025-09-16,7,33,True
01244,2025-09-18,1,2,False
01244,2025-09-18,2,3,False
01244,2025-09-18,3,8,False
01244,2025-09-18,4,27,False
01244,2025-09-18,5,38,False
01244,2025-09-18,6,55,False
01244,2025-09-18,7,20,True
01245,2025-09-20,1,8,False
01245,2025-09-20,2,13,False
01245,2025-09-20,3,14,False
01245,2025-09-20,4,19,False
01245,2025-09-20,5,36,False
01245,2025-09-20,6,43,False
01245,2025-09-20,7,30,True
01246,2025-09-23,1,8,False
01246,2025-09-23,2,18,False
01246,2025-09-23,3,19,False
01246,2025-09-23,4,34,False
01246,2025-09-23,5,41,False
01246,2025-09-23,6,46,False
01246,2025-09-23,7,38,True
01247,2025-09-25,1,5,False
01247,2025-09-25,2,17,False
01247,2025-09-25,3,30,False
01247,2025-09-25,4,31,False
01247,2025-09-25,5,38,False
01247,2025-09-25,6,53,False
01247,2025-09-25,7,8,True
01248,2025-09-27,1,8,False
01248,2025-09-27,2,13,False
01248,2025-09-27,3,19,False
01248,2025-09-27,4,24,False
01248,2025-09-27,5,39,False
01248,2025-09-27,6,46,False
01248,2025-09-27,7,1,True
01249,2025-09-30,1,17,False
01249,2025-09-30,2,23,False
01249,2025-09-30,3,34,False
01249,2025-09-30,4,39,False
01249,2025-09-30,5,46,False
01249,2025-09-30,6,52,False
01249,2025-09-30,7,8,True
01250,2025-10-02,1,1,False
01250,2025-10-02,2,2,False
01250,2025-10-02,3,20,False
01250,2025-10-02,4,24,False
01250,2025-10-02,5,27,False
01250,2025-10-02,6,42,False
01250,2025-10-02,7,43,True
01251,2025-10-04,1,22,False
01251,2025-10-04,2,33,False
01251,2025-10-04,3,35,False
01251,2025-10-04,4,36,False
01251,2025-10-04,5,38,False
01251,2025-10-04,6,40,False
01251,2025-10-04,7,7,True
01252,2025-10-07,1,19,False
01252,2025-10-07,2,22,False
01252,2025-10-07,3,35,False
01252,2025-10-07,4,37,False
01252,2025-10-07,5,43,False
01252,2025-10-07,6,45,False
01252,2025-10-07,7,29,True
01253,2025-10-09,1,7,False
01253,2025-10-09,2,11,False
01253,2025-10-09,3,21,False
01253,2025-10-09,4,22,False
01253,2025-10-09,5,39,False
01253,2025-10-09,6,42,False
01253,2025-10-09,7,40,True
01254,2025-10-11,1,3,False
01254,2025-10-11,2,7,False
01254,2025-10-11,3,26,False
01254,2025-10-11,4,43,False
01254,2025-10-11,5,44,False
01254,2025-10-11,6,46,False
01254,2025-10-11,7,25,True
01255,2025-10-14,1,8,False
01255,2025-10-14,2,9,False
01255,2025-10-14,3,16,False
01255,2025-10-14,4,26,False
01255,2025-10-14,5,37,False
01255,2025-10-14,6,55,False
01255,2025-10-14,7,12,True
01256,2025-10-16,1,14,False
01256,2025-10-16,2,15,False
01256,2025-10-16,3,24,False
01256,2025-10-16,4,26,False
01256,2025-10-16,5,27,False
01256,2025-10-16,6,45,False
01256,2025-10-16,7,36,True
01257,2025-10-18,1,5,False
01257,2025-10-18,2,16,False
01257,2025-10-18,3,19,False
01257,2025-10-18,4,21,False
01257,2025-10-18,5,38,False
